Episode,Total Reward,Requests Served,Average Waiting
663,-11394551,54,79.9
664,-10815369,49,84.36
665,-13646639,51,92.79
666,-13845549,25,86.37
667,-13423392,47,84.62
668,-14853775,48,99.21
669,-9897852,58,72.62
670,-12880785,37,82.58
671,-10924127,40,75.71
672,-9316232,65,72.63
673,-12103500,29,82.73
674,-10949997,61,76.31
675,-17985244,6,103.64
676,-10514501,57,74.95
677,-10032974,47,70.01
678,-8267212,50,68.95
679,-12191569,47,77.93
680,-9860107,59,72.18
681,-15665345,56,97.88
682,-13679466,20,85.82
683,-8974285,53,67.77
684,-12238622,47,80.09
685,-12005942,52,84.93
686,-15022815,33,90.09
687,-10404601,61,72.59
688,-4897608,77,55.74
689,-10144233,63,76.01
690,-13456528,65,80.01
691,-9701674,57,73.4
692,-9957282,65,76.3
693,-7388354,67,55.57
694,-11988733,42,80.3
695,-9657223,69,69.9
696,-7075094,78,65.0
697,-8653671,52,64.27
698,-11271355,42,79.49
699,-13540709,17,85.96
700,-9704846,68,75.34
701,-8822810,63,71.04
702,-14026024,14,94.94
703,-11670269,51,84.34
704,-10953834,59,82.82
705,-11735001,65,81.45
706,-12136897,69,83.63
707,-7662458,52,65.47
708,-11341665,66,83.48
709,-14873776,55,88.18
710,-13485716,46,89.25
711,-11843701,36,82.8
712,-15706637,42,102.1
713,-12380080,70,92.18
714,-10906567,39,74.24
715,-12420357,38,78.01
716,-13610703,49,85.52
717,-16904945,22,99.64
718,-16091794,2,97.28
719,-11358109,66,82.07
720,-11039754,64,78.84
721,-14105715,29,88.29
722,-11930791,29,78.77
723,-14575775,24,88.05
724,-11396039,50,75.53
725,-9244859,52,69.68
726,-13649305,38,87.95
727,-8336915,51,62.1
728,-11969949,56,80.96
729,-6283377,60,54.73
730,-12016056,30,78.87
731,-11433949,37,78.78
732,-9702065,49,63.89
733,-11780290,52,80.22
734,-12129229,57,83.93
735,-11732663,57,79.74
736,-11220960,23,74.91
737,-8927752,55,70.96
738,-16358695,25,99.79
739,-12037594,33,83.68
740,-14014474,21,83.71
741,-11422753,42,79.57
742,-9683164,68,74.55
743,-14131760,37,84.97
744,-13282839,49,86.18
745,-13144053,32,91.96
