Episode,Total Reward,Requests Served,Average Waiting
667,-10671437.0,66,76.35
668,-7051085.0,60,59.24
669,-7530305.0,68,64.32
670,-10705791.0,72,79.49
671,-13903062.0,76,91.46
672,-11702189.0,59,87.17
673,-8558507.0,61,69.98
674,-12527352.0,49,78.66
675,-9740933.0,60,79.07
676,-10101468.0,64,72.71
677,-10148511.0,81,69.93
678,-5920110.0,82,64.83
679,-7347527.0,82,61.71
680,-12191603.0,58,79.27
681,-7851800.0,50,59.7
682,-12023046.0,61,87.04
683,-7873277.0,80,63.66
684,-7380488.0,76,64.88
685,-9712275.0,84,74.68
686,-11942913.0,77,73.54
687,-7797661.0,66,61.62
688,-6614474.0,81,52.49
689,-4959280.0,94,54.86
690,-10723901.0,70,80.13
691,-9705723.0,74,70.76
692,-7749189.0,79,66.83
693,-11138388.0,41,79.56
694,-9222327.0,66,69.96
695,-11272554.0,54,78.62
696,-5624925.0,72,57.38
697,-11640040.0,66,82.63
698,-6963786.0,66,65.15
699,-7842953.0,72,66.39
700,-12441235.0,55,83.15
701,-10137084.0,80,72.01
702,-13628810.0,56,88.68
703,-11320796.0,74,84.62
704,-8162051.0,65,69.38
705,-7235084.0,71,66.69
706,-9549381.0,78,67.39
707,-14080052.0,57,90.93
708,-11052281.0,68,79.67
709,-10052846.0,78,74.6
710,-10769972.0,75,79.71
711,-8467458.0,64,66.25
712,-7954611.0,56,64.54
713,-7236988.0,71,64.83
714,-14678565.0,45,97.19
715,-7051416.0,91,65.0
716,-8095291.0,67,61.35
717,-10808951.0,57,78.62
718,-11937114.0,41,78.72
719,-7519642.0,92,68.49
720,-6211179.0,90,62.03
721,-12081214.0,74,78.47
722,-8416437.0,76,63.13
723,-6378055.0,77,58.17
724,-9722864.0,54,73.03
725,-11602289.0,80,81.68
726,-10590275.0,67,80.18
727,-11266804.0,53,84.37
728,-9503622.0,66,69.56
729,-9910699.0,80,73.0
730,-8921417.0,60,61.37
731,-8532776.0,80,74.39
732,-10991107.0,67,75.11
733,-8583828.0,58,67.36
734,-6797187.0,87,64.88
735,-10190840.0,69,75.61
736,-9295550.0,90,69.93
